stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
NOE00105483,26743,701,703,414.6667,416,0.6667,-4.172,-4.1932,-4.6413,-4.654,-10.3151,4.2338,4.2007,4.7055,4.6948,10.3612
NOE00105492,28545.6667,746.3333,750,473.6667,468,1,-3.4453,-3.4178,-3.8302,-3.8447,-8.4642,3.4581,3.4745,3.846,3.8314,8.4574
NOE00105494,31408.6667,554.6667,588.6667,317.6667,316.3333,0,-4.9991,-4.6958,-5.5537,-5.6805,-12.8134,5.1556,5.3978,5.7379,5.589,12.7839
NOE00109485,24278.3333,813,842,519.6667,541.6667,0,-9.4764,-10.0567,-10.5555,-10.22,-27.4821,9.2769,8.5601,10.2973,10.5447,27.6758
PO000008535,42894,900,933,539.6667,593.6667,0,-3.9168,-3.4818,-4.3448,-4.5096,-11.8313,4.0544,4.4428,4.5187,4.3235,11.7261
ROE00100829,38182.3333,504.6667,515,273.6667,276.3333,0,-7.1624,-7.3104,-7.9685,-7.8879,-16.2204,7.0948,6.897,7.8849,7.9626,16.2595
ROE00100900,38441,702,734.3333,379.6667,399,0,-6.4711,-6.7538,-7.2031,-7.0381,-16.7187,6.3264,5.9636,7.027,7.1735,16.784
ROE00100901,42971.3333,875.6667,904.3333,509,512.3333,0,-6.7422,-6.8314,-7.4996,-7.4429,-16.619,6.6903,6.553,7.4366,7.4913,16.6423
ROE00100902,32874,677.6667,731.6667,396,414.6667,0.3333,-6.7546,-7.1951,-7.5214,-7.2321,-17.7446,6.4638,5.9292,7.1768,7.4222,17.8145
ROE00100903,43327,724.3333,756,408,415,0,-6.1553,-6.4317,-6.8522,-6.6628,-15.3919,5.966,5.6078,6.626,6.8035,15.4501
RQC00660158,24491,812,861.6667,560,576,1,-1.9554,-2.1482,-2.1796,-2.0805,-6.1962,1.8801,1.6618,2.0853,2.1742,6.2476
RQC00662801,35020,1103.6667,1113.3333,754,755.3333,6.6667,-1.553,-1.5676,-1.728,-1.7256,-4.0974,1.5697,1.5503,1.7444,1.7451,4.1162
RQC00664193,32883.6667,895.3333,912.3333,621.6667,658.3333,0,-1.6721,-1.817,-1.864,-1.8032,-5.0167,1.6536,1.4854,1.8339,1.8889,5.0764
RQC00664702,37843.6667,1299,1308.3333,927.3333,919.6667,6.3333,-1.4236,-1.4535,-1.5842,-1.5797,-3.8584,1.4351,1.3954,1.5944,1.6026,3.8785
RQC00665097,24046,622.3333,625.3333,375.6667,377,1.3333,-1.8106,-1.8086,-2.0134,-2.0144,-4.2972,1.8129,1.8123,2.0156,2.0179,4.3004
RQC00665807,36762,1083.3333,1092.6667,711.3333,708.3333,3.3333,-1.7232,-1.7183,-1.9166,-1.9336,-4.4093,1.7624,1.7616,1.9592,1.9423,4.4257
RQC00666073,32997.3333,788,802,482.6667,482.3333,2,-1.7845,-1.7635,-1.984,-1.9995,-4.4904,1.8105,1.824,2.0134,1.9959,4.4942
RQC00667292,36323.6667,843.6667,884.6667,523.6667,547.3333,3,-1.8561,-1.9519,-2.0672,-2.0038,-5.1613,1.8069,1.6866,2.0059,2.0631,5.1934
RSE00151725,38379.3333,922,1072.3333,525.3333,565.6667,0,-4.9947,-4.3796,-5.5415,-5.8604,-17.1564,5.413,5.9772,6.0314,5.6395,17.0952
RSE00151755,44602.6667,960,995.6667,594,621.3333,0,-8.2487,-8.7602,-9.1872,-8.919,-21.8599,8.0549,7.4306,8.9417,9.1877,22.013
RSM00021921,30444,693.3333,740.6667,390.6667,404,0,-10.894,-10.1633,-12.0989,-12.4631,-32.5506,11.3458,11.9166,12.6308,12.1997,32.466
RSM00022003,29607.3333,529.3333,598,306,302.6667,0,-6.0037,-5.5227,-6.6674,-6.9519,-15.6081,6.3938,6.7935,7.1179,6.8029,15.5939
RSM00022028,37245,640.3333,710.6667,364,360,0,-7.2442,-6.7856,-8.0485,-8.3522,-17.8899,7.6954,8.0471,8.5636,8.2326,17.9131
RSM00022140,34576,749.6667,851.3333,442,461,0,-6.1388,-5.531,-6.8148,-7.1624,-16.4138,6.6047,7.1322,7.3554,6.9614,16.3795
RSM00022165,35681.6667,1260.3333,1317.6667,823,814.3333,0,-5.8713,-5.5993,-6.526,-6.7141,-17.082,6.1837,6.3823,6.8785,6.6684,17.1258
RSM00022217,39036.3333,1178.3333,1213.6667,749.3333,762,0,-8.236,-8.5828,-9.1687,-9.0244,-22.2079,8.195,7.7484,9.1018,9.2141,22.3399
RSM00022355,35947.3333,1137,1146,740.3333,737.3333,2.6667,-5.6687,-5.7658,-6.3077,-6.3363,-14.2729,5.7904,5.6639,6.4343,6.4135,14.3612
RSM00022520,37036.3333,805.3333,808.3333,485.6667,485.6667,0.3333,-8.0392,-8.1102,-8.9434,-8.9494,-18.2366,8.1206,8.023,9.0254,9.0248,18.3135
RSM00022550,41606.3333,1072,1100.6667,684.3333,710.3333,1,-8.927,-9.4193,-9.9426,-9.6901,-23.6734,8.7763,8.1604,9.7427,9.9796,23.8529
RSM00022583,37097,1311.3333,1328,914,921.6667,0.3333,-10.0167,-10.4389,-11.1574,-11.063,-28.8656,10.1985,9.6604,11.321,11.4071,29.1691
RSM00022602,28169.6667,1030,1049.6667,685.6667,717.6667,0,-8.2942,-8.8478,-9.2411,-8.9517,-25.3131,8.1505,7.4835,9.0447,9.2788,25.5224
RSM00022768,35499,1004.6667,1022,675.6667,688.6667,0.3333,-9.0858,-9.5409,-10.1202,-9.9117,-24.5671,9.0239,8.4506,10.017,10.2191,24.7822
