stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00272999,33641.3333,663,673.3333,372,367,0,17.3333,-10.6177,-10.789,-11.8106,-11.6882,-24.7282,-16.9441,10.4544,10.2106,11.6205,11.7647,24.7448,16.9606
USC00273530,24988,358,363.6667,180.6667,182.6667,0,5,-9.6952,-9.6006,-10.7805,-10.7684,-20.5777,-15.3761,9.6831,9.7498,10.7671,10.7676,20.5741,15.3725
USC00273850,45439,798.6667,817,426.3333,430.3333,0,16.3333,-9.2525,-9.0887,-10.2868,-10.3542,-21.927,-15.1784,9.3564,9.4718,10.4054,10.327,21.9326,15.184
USC00274399,46035.3333,596.6667,614.3333,296.3333,299.3333,0,8.3333,-9.286,-9.0567,-10.322,-10.4502,-21.0371,-15.3074,9.4644,9.6244,10.5276,10.3867,21.0341,15.3044
USC00274556,22836.3333,515,522.3333,294.3333,292.6667,0,20.6667,-9.545,-9.6135,-10.6156,-10.5565,-21.8497,-15.0221,9.4766,9.3757,10.5355,10.5922,21.8594,15.0318
USC00275712,42374.3333,559,590.3333,278.3333,284.6667,0,7,-8.8487,-8.3765,-9.8302,-10.0434,-21.4737,-14.6078,9.0749,9.4344,10.0999,9.881,21.4085,14.5426
USC00276697,19231,245,244.6667,122,122,0,3.3333,-9.4503,-9.3926,-10.5077,-10.5426,-19.8132,-14.8448,9.4982,9.5211,10.5621,10.5326,19.8177,14.8493
USC00280907,37133.6667,428.6667,435.6667,204.3333,204.6667,0.3333,6.3333,-8.41,-8.2144,-9.3476,-9.3919,-17.757,-13.626,8.4189,8.5642,9.3653,9.3233,17.7077,13.5768
USC00281351,34831.6667,493.3333,505.6667,242,242.3333,0,5.3333,-7.4245,-7.5338,-8.2585,-8.1241,-17.1772,-11.8213,7.2394,7.0771,8.0471,8.1733,17.1678,11.8119
USC00281582,44181.6667,489.6667,501.3333,249,251.6667,0,4.3333,-8.9326,-8.6674,-9.928,-10.0366,-19.2221,-14.6622,9.0416,9.2345,10.0585,9.953,19.1865,14.6267
USC00283029,44004,499,500,232.6667,234.6667,0,5.3333,-8.6348,-8.4493,-9.5979,-9.6626,-17.9922,-14.1283,8.6868,8.8218,9.663,9.5972,17.9562,14.0922
USC00283181,31151.6667,378,374.6667,184.3333,184,0,7.6667,-8.9592,-8.8937,-9.9596,-9.9421,-18.0856,-14.3316,8.886,8.9381,9.8833,9.8967,18.0333,14.2792
USC00283662,26072.6667,314.3333,329.3333,155,153.3333,0,4.3333,-9.0841,-8.9948,-10.0984,-10.0299,-18.6767,-14.3603,8.9339,8.9651,9.9367,9.9822,18.6033,14.2869
USC00283951,44210,488.6667,498,232.6667,241.3333,0,4.3333,-8.8736,-8.562,-9.861,-9.9776,-18.9215,-14.5769,8.984,9.2134,9.9959,9.8689,18.8676,14.523
USC00284229,42725,431.3333,443,203,210.6667,0,2,-9.3733,-8.9951,-10.4147,-10.5834,-20.4483,-15.4217,9.545,9.8235,10.6215,10.4409,20.3844,15.3578
USC00284987,35380.6667,526.6667,561,271,283.3333,0,7.3333,-8.0435,-7.4671,-8.9329,-9.1733,-21.0594,-13.2192,8.2957,8.7529,9.2355,8.9746,20.9734,13.1332
USC00285728,37471,455.6667,463,226.3333,228.3333,0,4.3333,-8.5555,-8.3304,-9.5082,-9.6153,-18.857,-13.9359,8.6533,8.8139,9.6272,9.5235,18.8126,13.8915
USC00286177,36643.6667,414,414.6667,204,205.6667,0,5.3333,-9.0664,-9.0457,-10.0802,-10.0578,-18.7716,-14.6207,9.0183,9.0254,10.029,10.0381,18.7448,14.5939
USC00286843,26111.6667,271,269,129.3333,129,0,3,-9.1231,-8.9969,-10.1413,-10.1589,-18.2342,-14.5102,9.0979,9.1894,10.1196,10.1036,18.1865,14.4625
USC00287079,41027.3333,460,479.6667,220,225.3333,0,5.3333,-8.4239,-8.1211,-9.3613,-9.4806,-18.9344,-13.796,8.537,8.7617,9.4984,9.3793,18.8867,13.7483
USC00287865,10646.3333,207.3333,208,115.6667,117.3333,0,10.3333,-6.9224,-6.9265,-7.6991,-7.6764,-15.3111,-10.5301,6.9275,6.889,7.7013,7.7072,15.3355,10.5545
USC00288194,39215.6667,448.3333,463,210.6667,211.6667,0,3.3333,-8.5868,-8.3127,-9.5429,-9.6829,-18.6944,-14.0528,8.7375,8.9352,9.7208,9.5916,18.6636,14.0221
USC00288644,39677.6667,471.6667,476,230.3333,230.3333,0,5.6667,-8.8629,-8.7334,-9.852,-9.9017,-19.7639,-14.4113,8.8924,8.9844,9.891,9.846,19.7295,14.3768
USC00288816,20570,226,239.6667,106,108.3333,0,2.6667,-9.0068,-8.5034,-10.0059,-10.1775,-19.5988,-14.3243,9.1626,9.5519,10.1976,10.0127,19.5141,14.2396
USC00288899,32432.6667,308.3333,318.3333,127,125.6667,0,1.3333,-8.6908,-8.48,-9.6608,-9.734,-18.1063,-14.038,8.7768,8.9321,9.7623,9.6813,18.0882,14.02
USC00290600,40016.6667,1499.6667,1609,963.6667,1036.6667,0,146.6667,-6.8844,-7.6127,-7.677,-7.3006,-27.2634,-10.8597,6.6504,5.8437,7.373,7.692,27.4985,11.0947
USC00290692,37876.3333,1049.6667,1079.6667,626.3333,669,0,72,-5.8491,-6.4296,-6.5201,-6.281,-19.7446,-9.2641,5.7157,5.0745,6.3395,6.5693,19.9275,9.447
USC00290858,32085,1122.3333,1235,732.6667,806,0,139.3333,-6.3891,-7.1579,-7.1256,-6.6759,-22.3625,-9.8696,6.0283,5.2216,6.682,7.0544,22.5561,10.0633
USC00291063,35919.6667,968.6667,1026,581,630,0,69,-5.8548,-6.4533,-6.5256,-6.2217,-19.2068,-9.1847,5.6189,4.9506,6.2325,6.4968,19.3542,9.3321
USC00291138,39795,1490,1540.3333,971.6667,988.3333,0.3333,145,-5.2091,-5.4789,-5.8007,-5.657,-16.6446,-8.317,5.1029,4.7682,5.6656,5.809,16.732,8.4044
USC00291440,17581,690.3333,704,470.3333,475,0,89.3333,-5.7152,-6.0544,-6.368,-6.2807,-19.3287,-8.8864,5.8015,5.3838,6.438,6.5123,19.524,9.0816
USC00291469,39325.3333,1583,1741,1044.6667,1102.3333,0,160,-6.6286,-7.4384,-7.3929,-6.9827,-26.4092,-10.3861,6.3258,5.4734,7.0117,7.3807,26.6321,10.609
USC00291515,35254.6667,1096.3333,1165.6667,696.3333,737.3333,0,91.3333,-6.0636,-6.653,-6.7587,-6.4745,-20.2031,-9.5403,5.875,5.2143,6.5164,6.7656,20.3742,9.7114
USC00291630,34395,1344.6667,1354.6667,881.6667,932.6667,0,128.3333,-5.9046,-6.3862,-6.5824,-6.4046,-22.2207,-9.4074,5.9188,5.3511,6.5647,6.7033,22.4483,9.635
USC00291647,28314.3333,816.6667,819.6667,495.6667,507,1,62.3333,-6.067,-6.3651,-6.7567,-6.6735,-17.8562,-9.6428,6.1112,5.7471,6.7848,6.8607,18.0076,9.7942
USC00291664,40402.6667,1360,1452,873.3333,959.6667,0,132.6667,-5.8503,-6.5503,-6.5255,-6.189,-20.8958,-9.2106,5.6358,4.88,6.2464,6.5511,21.1138,9.4286
USC00291813,41720,1785.6667,1902.6667,1229.6667,1280,0,224,-6.52,-7.118,-7.2703,-6.9781,-24.994,-10.3735,6.3946,5.7082,7.0901,7.3422,25.2358,10.6152
USC00291939,32855.6667,1099.6667,1192.3333,690,787.3333,0,108.3333,-7.5593,-8.6152,-8.4344,-7.9225,-30.0199,-11.739,7.2386,6.1633,8.0202,8.4371,30.3257,12.0447
USC00292436,31860.6667,848.3333,886.3333,524,562.6667,0.3333,74,-5.4069,-5.8333,-6.0256,-5.7983,-17.0402,-8.4851,5.2552,4.7515,5.8302,6.0373,17.1816,8.6264
USC00292608,36294,1602.3333,1641,1114.6667,1154.6667,0.3333,255.3333,-5.3106,-5.6956,-5.9182,-5.7242,-18.5457,-8.4212,5.214,4.762,5.7846,5.9578,18.6968,8.5722
USC00292837,30191.3333,1043,1075.6667,642,688.6667,0,77.3333,-6.2585,-6.7334,-6.9727,-6.7199,-21.0146,-9.8193,6.0969,5.55,6.7659,6.9621,21.1559,9.9606
USC00292848,35110.3333,931.3333,1032,570,636.6667,0,90.3333,-5.6895,-6.3744,-6.3441,-5.9786,-18.5054,-8.8625,5.4078,4.6757,5.9956,6.2942,18.6717,9.0288
USC00292865,24833.6667,1036,1077.3333,695.6667,722.6667,0,148,-5.8658,-6.4229,-6.541,-6.3231,-21.842,-9.1516,5.8232,5.1857,6.4566,6.6541,22.0796,9.3892
USC00293031,28330,902.3333,944.3333,595.3333,621.3333,2.3333,102.3333,-5.2503,-5.6335,-5.8497,-5.6719,-16.6361,-8.2406,5.1619,4.7049,5.7281,5.8804,16.7704,8.3749
USC00293060,32905,1402.6667,1451,952.3333,969.3333,1,182.3333,-5.6136,-6.0034,-6.256,-6.147,-19.3777,-8.969,5.6716,5.2042,6.2926,6.3955,19.5785,9.1698
USC00293265,39030.3333,994.6667,1014.3333,613.6667,661.3333,0,78.6667,-5.3559,-5.8438,-5.9702,-5.7267,-16.7384,-8.4714,5.1988,4.6343,5.7661,5.9889,16.8957,8.6288
