stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00096126,4521.6667,164.6667,182.3333,125.6667,320,0,99,-15.5516,-4.73,-18.0757,-23.4777,-237.7467,-37.2687,48.3725,84.5226,53.0049,37.4667,256.4437,55.9657
USC00096335,12418.6667,551.3333,846.6667,408.6667,1115,0,287,-13.3944,-5.2921,-15.1946,-20.709,-229.2899,-34.5868,38.388,75.9127,42.385,26.0804,239.5669,44.8638
USC00097276,8547,371.6667,463.6667,286.6667,660,0,213.3333,-16.4123,-5.9694,-18.8765,-25.0124,-256.1232,-40.3493,47.976,84.4612,52.7202,36.2095,272.412,56.638
USC00097430,10600,462.6667,591.3333,343.6667,833,0,254.6667,-14.0471,-5.328,-16.0648,-21.2573,-216.1271,-34.6336,39.5561,72.0319,43.5394,29.2078,228.4673,46.9738
USC00097600,13765.3333,654.6667,963.3333,497.6667,1179.3333,0,368,-13.1845,-5.3356,-14.9519,-20.3994,-216.9923,-33.8125,37.0755,71.835,40.9348,25.6056,226.8698,43.69
USC00097777,6407,328,534,259.6667,636,0,218,-12.1076,-4.5485,-13.7577,-19.3281,-252.3675,-31.4587,37.1452,75.8376,41.009,24.5923,262.575,41.6663
USC00098223,5829,261.3333,260.3333,188.3333,430,0,134.6667,-13.7291,-4.9168,-15.7996,-20.3812,-195.3418,-32.0212,38.6716,67.6293,42.4674,29.9126,208.726,45.4054
USC00098351,5831.3333,361,348,289.6667,524.3333,0,213.6667,-14.1036,-5.629,-16.1684,-19.9034,-263.4824,-30.7976,35.6296,59.8649,39.1325,28.5836,275.3741,42.6892
USC00098535,10013.3333,359,451,263.3333,684,0.6667,189,-15.3048,-5.4443,-17.6682,-22.9228,-208.5117,-37.5472,44.7446,76.5672,49.1037,34.536,224.5815,53.617
USC00098666,9772,498.3333,794.3333,373.6667,942,0,293.6667,-13.5615,-5.3259,-15.3729,-21.4026,-280.798,-35.2365,39.8404,80.5313,44.0074,26.6397,291.2956,45.7341
