"generation","sample.size","beta11","beta12.5","beta14"
67,9,0.155444444444444,0.104333333333333,0.0632222222222222
68,9,0.152333333333333,0.0943333333333333,0.0643333333333333
69,9,0.146111111111111,0.0965555555555556,0.0647777777777778
70,9,0.162777777777778,0.107888888888889,0.0737777777777778
71,9,0.157444444444444,0.101,0.0733333333333333
72,9,0.149111111111111,0.0953333333333333,0.0731111111111111
73,9,0.163444444444444,0.108333333333333,0.0688888888888889
74,9,0.152,0.102888888888889,0.0721111111111111
75,9,0.150333333333333,0.0963333333333333,0.0653333333333333
76,9,0.150333333333333,0.109333333333333,0.0704444444444444
77,9,0.141777777777778,0.0902222222222222,0.0654444444444444
78,9,0.157666666666667,0.0972222222222222,0.0737777777777778
79,9,0.158111111111111,0.105777777777778,0.0681111111111111
80,9,0.144333333333333,0.0986666666666667,0.0661111111111111
81,9,0.148444444444444,0.0971111111111111,0.0604444444444444
82,9,0.144555555555556,0.0968888888888889,0.068
83,9,0.150555555555556,0.0996666666666667,0.0734444444444445
84,9,0.157777777777778,0.111333333333333,0.069
85,9,0.157,0.100111111111111,0.0706666666666667
86,9,0.168888888888889,0.108888888888889,0.079
87,9,0.139333333333333,0.100666666666667,0.0625555555555556
88,9,0.151555555555556,0.104888888888889,0.0705555555555556
89,9,0.161111111111111,0.109222222222222,0.0753333333333333
90,9,0.176444444444444,0.103888888888889,0.0758888888888889
91,9,0.157888888888889,0.102,0.0745555555555556
92,9,0.155111111111111,0.105333333333333,0.0751111111111111
93,9,0.148111111111111,0.0955555555555556,0.0735555555555556
94,9,0.164444444444444,0.111888888888889,0.0732222222222222
95,9,0.161666666666667,0.104777777777778,0.0718888888888889
96,9,0.146222222222222,0.0917777777777778,0.0693333333333333
97,9,0.172666666666667,0.110444444444444,0.0756666666666667
98,9,0.149555555555556,0.0967777777777778,0.0614444444444444
99,9,0.159444444444444,0.111777777777778,0.0757777777777778
100,9,0.165666666666667,0.102111111111111,0.0741111111111111
