"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"student",10.9938089856376,NA,0,3.8579,-0.0011,2.2604,2.2604,3.9758,3.9758,6.8567,6.8567
"student",17.0847933490062,NA,0,3.4585,8e-04,2.0428,2.0428,3.3135,3.3135,5.1003,5.1003
"student",6.10702429181719,NA,0,5.8476,-3e-04,2.8873,2.8873,6.239,6.239,14.3838,14.3838
"student",5.99817814929411,NA,0,6.0027,-0.0016,2.9177,2.9177,6.3616,6.3616,14.8518,14.8518
"student",10.3131953911856,NA,0,3.9504,-4e-04,2.3044,2.3044,4.1177,4.1177,7.2619,7.2619
"student",8.64971463545226,NA,0,4.2904,-6e-04,2.4493,2.4493,4.6034,4.6034,8.7205,8.7205
"student",7.99655060064325,NA,0,4.5013,5e-04,2.5276,2.5276,4.8776,4.8776,9.5914,9.5914
"student",5.66875347293464,NA,0,6.5955,8e-04,3.0199,3.0199,6.7819,6.7819,16.4987,16.4987
"student",6.26852116420215,NA,0,5.6449,9e-04,2.8448,2.8448,6.0697,6.0697,13.7475,13.7475
"student",5.08931839473944,NA,0,8.508,9e-04,3.2472,3.2472,7.7624,7.7624,20.59,20.59
"student",16.240176575142,NA,0,3.4902,8e-04,2.0619,2.0619,3.3689,3.3689,5.2383,5.2383
"student",5.01579016917967,NA,0,8.9067,-0.0016,3.2816,3.2816,7.9162,7.9162,21.2624,21.2624
"student",14.8817321089142,NA,0,3.5514,-1e-04,2.0978,2.0978,3.4746,3.4746,5.5063,5.5063
"student",8.41363341366439,NA,0,4.3594,-0.002,2.4758,2.4758,4.6953,4.6953,9.0087,9.0087
"student",5.59633280241007,NA,0,6.7586,9e-04,3.0447,3.0447,6.8857,6.8857,16.9154,16.9154
"student",12.0703374983743,NA,0,3.7435,7e-04,2.2028,2.2028,3.7942,3.7942,6.3527,6.3527
"student",6.40389375465382,NA,0,5.496,-5e-04,2.8115,2.8115,5.9384,5.9384,13.2614,13.2614
"student",5.16553221998059,NA,0,8.1479,4e-04,3.213,3.213,7.6111,7.6111,19.9366,19.9366
"student",5.32043429042017,NA,0,7.544,-0.0022,3.148,3.148,7.3267,7.3267,18.7297,18.7297
"student",11.4303826005137,NA,0,3.8075,0.0012,2.2355,2.2355,3.8967,3.8967,6.635,6.635
"student",6.56381988423998,NA,0,5.3403,0.002,2.7745,2.7745,5.7943,5.7943,12.7361,12.7361
"student",13.9036364562809,NA,0,3.6058,-0.0011,2.1287,2.1287,3.5671,3.5671,5.7458,5.7458
"student",5.15469993434302,NA,0,8.1962,8e-04,3.2178,3.2178,7.6322,7.6322,20.0269,20.0269
"student",5.0733349210978,NA,0,8.5901,9e-04,3.2545,3.2545,7.7952,7.7952,20.7325,20.7325
"gamma",4.56113770607654,NA,0.9365,4.3155,0.1418,0.8534,2.8518,0.9899,4.5663,1.0522,6.5929
"gamma",2.29072391392495,NA,1.3214,5.6193,0.2064,0.5807,3.4308,0.6186,5.6601,0.6264,8.371
"gamma",2.12585342335454,NA,1.3717,5.8224,0.2175,0.5498,3.5138,0.5808,5.8172,0.5864,8.6264
"gamma",1.20165202047199,NA,1.8245,7.9931,0.2998,0.3244,4.3625,0.3278,7.4266,0.328,11.2441
"gamma",4.23496494852293,NA,0.9719,4.4168,0.1478,0.8258,2.9014,0.9494,4.6598,1.0026,6.7448
"gamma",58.6140913847115,NA,0.2612,3.1024,0.0375,1.457,2.009,1.9858,2.9887,2.4596,4.0406
"gamma",5.94211584599193,148.245375239349,0.8205,4.0097,0.1236,0.947,2.6937,1.1315,4.2685,1.2318,6.1092
"gamma",2.42660672710734,NA,1.2839,5.4726,0.2014,0.6044,3.3701,0.6483,5.5453,0.6582,8.1843
"gamma",1.30033766326383,NA,1.7539,7.6142,0.2864,0.3536,4.2164,0.3586,7.1491,0.3589,10.7927
"gamma",2.71111724790218,NA,1.2147,5.2131,0.1876,0.65,3.2608,0.7067,5.3385,0.7217,7.848
"gamma",6.23727726883441,NA,0.8008,3.962,0.1212,0.9633,2.6675,1.1568,4.2193,1.2649,6.0294
"gamma",1.66740403464588,NA,1.5489,6.5984,0.2476,0.4505,3.8224,0.4647,6.4018,0.4663,9.5773
