"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"student",5.81357903924503,NA,0,6.3084,8e-04,2.973,2.973,6.5873,6.5873,15.7279,15.7279
"student",5.79285687702568,NA,0,6.3466,7e-04,2.9795,2.9795,6.6142,6.6142,15.8334,15.8334
"student",5.7697754455453,NA,0,6.3903,3e-04,2.9868,2.9868,6.6444,6.6444,15.9527,15.9527
"student",5.73552810013138,NA,0,6.4572,8e-04,2.9979,2.9979,6.6901,6.6901,16.1334,16.1334
"student",5.71863233537772,NA,0,6.4911,-6e-04,3.0034,3.0034,6.713,6.713,16.2242,16.2242
"student",5.68647998056582,NA,0,6.5577,6e-04,3.014,3.014,6.7572,6.7572,16.4,16.4
"student",5.66875347293464,NA,0,6.5955,8e-04,3.0199,3.0199,6.7819,6.7819,16.4987,16.4987
"student",5.63994393707437,NA,0,6.6587,-7e-04,3.0297,3.0297,6.8227,6.8227,16.6618,16.6618
"student",5.62519271124818,NA,0,6.6919,-0.0021,3.0347,3.0347,6.8438,6.8438,16.7467,16.7467
"student",5.59633280241007,NA,0,6.7586,9e-04,3.0447,3.0447,6.8857,6.8857,16.9154,16.9154
"student",5.58278286233263,NA,0,6.7908,3e-04,3.0494,3.0494,6.9057,6.9057,16.9959,16.9959
"student",5.55593329211697,NA,0,6.8562,9e-04,3.0589,3.0589,6.9456,6.9456,17.1578,17.1578
"student",5.54176701856777,NA,0,6.8916,-6e-04,3.0639,3.0639,6.967,6.967,17.2445,17.2445
"student",5.5178765617155,NA,0,6.9529,6e-04,3.0726,3.0726,7.0035,7.0035,17.3929,17.3929
"student",5.5004726765597,NA,0,6.9987,9e-04,3.0789,3.0789,7.0304,7.0304,17.5027,17.5027
"student",5.48331212626409,NA,0,7.045,5e-04,3.0852,3.0852,7.0572,7.0572,17.6124,17.6124
"student",5.46617856070399,NA,0,7.0923,3e-04,3.0915,3.0915,7.0842,7.0842,17.7234,17.7234
"student",5.44368412986398,NA,0,7.156,5e-04,3.1,3.1,7.1202,7.1202,17.8713,17.8713
"student",5.4307529036148,NA,0,7.1936,-5e-04,3.1049,3.1049,7.1411,7.1411,17.9575,17.9575
"student",5.4095662480233,NA,0,7.2566,-5e-04,3.1129,3.1129,7.1757,7.1757,18.1007,18.1007
"student",5.39493531668568,NA,0,7.3013,-0.0013,3.1186,3.1186,7.1999,7.1999,18.2009,18.2009
"student",5.38024799456624,NA,0,7.347,-3e-04,3.1243,3.1243,7.2245,7.2245,18.3027,18.3027
"student",5.36298729242906,NA,0,7.4021,-8e-04,3.131,3.131,7.2536,7.2536,18.4239,18.4239
"student",5.34633663173877,NA,0,7.4565,0.0013,3.1376,3.1376,7.2819,7.2819,18.5423,18.5423
"student",5.33409246805217,NA,0,7.4974,4e-04,3.1425,3.1425,7.303,7.303,18.6304,18.6304
"student",5.32043429042017,NA,0,7.544,-0.0022,3.148,3.148,7.3267,7.3267,18.7297,18.7297
"student",5.30363695767433,NA,0,7.6025,0,3.1548,3.1548,7.3562,7.3562,18.8533,18.8533
"student",5.29065032153889,NA,0,7.6488,8e-04,3.1601,3.1601,7.3792,7.3792,18.95,18.95
"student",5.27394443387771,NA,0,7.7098,0.0011,3.1669,3.1669,7.409,7.409,19.076,19.076
"student",5.26106043475499,NA,0,7.7579,0.0011,3.1723,3.1723,7.4323,7.4323,19.1743,19.1743
"student",5.24975869773091,NA,0,7.8009,6e-04,3.177,3.177,7.4528,7.4528,19.2614,19.2614
"student",5.2369570590978,NA,0,7.8506,-0.0023,3.1823,3.1823,7.4763,7.4763,19.361,19.361
"student",5.22216155310753,NA,0,7.9093,-9e-04,3.1886,3.1886,7.5037,7.5037,19.4774,19.4774
"student",5.21347935128992,NA,0,7.9445,6e-04,3.1923,3.1923,7.5199,7.5199,19.5464,19.5464
"student",5.20157199598756,NA,0,7.9935,9e-04,3.1974,3.1974,7.5423,7.5423,19.6419,19.6419
"student",5.18971777377895,NA,0,8.0432,-0.0015,3.2025,3.2025,7.5648,7.5648,19.7378,19.7378
"student",5.17470058466911,NA,0,8.1077,0.0019,3.209,3.209,7.5935,7.5935,19.8607,19.8607
"student",5.16553221998059,NA,0,8.1479,4e-04,3.213,3.213,7.6111,7.6111,19.9366,19.9366
"student",5.15469993434302,NA,0,8.1962,8e-04,3.2178,3.2178,7.6322,7.6322,20.0269,20.0269
"student",5.14229921802175,NA,0,8.2526,0.0011,3.2233,3.2233,7.6564,7.6564,20.1313,20.1313
"student",5.13378707735268,NA,0,8.292,4e-04,3.2271,3.2271,7.6732,7.6732,20.2036,20.2036
"student",5.12303700414486,NA,0,8.3427,1e-04,3.2319,3.2319,7.6945,7.6945,20.2957,20.2957
"student",5.11204541972838,NA,0,8.3955,4e-04,3.2369,3.2369,7.7165,7.7165,20.3907,20.3907
"student",5.1026899991557,NA,0,8.4412,0.0011,3.2411,3.2411,7.7353,7.7353,20.4723,20.4723
"student",5.08931839473944,NA,0,8.508,9e-04,3.2472,3.2472,7.7624,7.7624,20.59,20.59
"student",5.08018156932634,NA,0,8.5546,-0.0016,3.2514,3.2514,7.7811,7.7811,20.6713,20.6713
"student",5.0733349210978,NA,0,8.5901,9e-04,3.2545,3.2545,7.7952,7.7952,20.7325,20.7325
"student",5.06309600875014,NA,0,8.6439,-0.0013,3.2593,3.2593,7.8164,7.8164,20.8249,20.8249
"student",5.0508344716659,NA,0,8.7097,-0.0021,3.265,3.265,7.8419,7.8419,20.9366,20.9366
"student",5.04493157507293,NA,0,8.742,-0.0019,3.2678,3.2678,7.8543,7.8543,20.9907,20.9907
"student",5.0343633251969,NA,0,8.8007,-6e-04,3.2728,3.2728,7.8766,7.8766,21.0884,21.0884
"student",5.02682939097215,NA,0,8.8432,6e-04,3.2763,3.2763,7.8926,7.8926,21.1586,21.1586
"student",5.01579016917967,NA,0,8.9067,-0.0016,3.2816,3.2816,7.9162,7.9162,21.2624,21.2624
"student",5.00756787089922,NA,0,8.9549,-0.001,3.2855,3.2855,7.9339,7.9339,21.3403,21.3403
"student",5.00007991162711,NA,0,8.9995,-0.0029,3.2891,3.2891,7.9501,7.9501,21.4117,21.4117
"gamma",58.6140913847115,NA,0.2612,3.1024,0.0375,1.457,2.009,1.9858,2.9887,2.4596,4.0406
"inverse gamma",222.824416526741,NA,0.2704,3.1376,0.0404,1.469,2.0409,2.0167,3.0654,2.5208,4.1941
"pearson IV",17.9270604037726,-9.90632181745721,0.2021,3.2577,0.0291,1.6603,2.0882,2.4322,3.2595,3.2945,4.7083
"pearson IV",16.7852408357919,-10.8390105745546,0.2429,3.3016,0.0315,1.6301,2.1443,2.3808,3.3791,3.2184,4.9336
"pearson IV",13.6257563705649,-7.06712571668904,0.2283,3.3514,0.0296,1.6857,2.1688,2.5112,3.4646,3.4831,5.1567
"pearson IV",11.3527221645997,-4.73769405125687,0.2117,3.4099,0.029,1.7485,2.1959,2.6624,3.5612,3.8008,5.4161
"pearson IV",11.0159029351477,-5.21097671981109,0.2436,3.4465,0.0317,1.725,2.2398,2.6211,3.6585,3.7376,5.6097
"pearson IV",9.8894336928823,-4.21808968620701,0.2397,3.498,0.0294,1.7632,2.269,2.7189,3.7514,3.9554,5.8504
"pearson IV",8.64478825273924,-2.83780719791725,0.2076,3.5581,0.0273,1.8463,2.2833,2.9216,3.8303,4.3972,6.1063
"pearson IV",8.20480148574337,-2.5511211615596,0.2058,3.595,0.0261,1.8706,2.3031,2.9875,3.8941,4.5542,6.2774
"pearson IV",7.75997862766497,-2.5097202015277,0.2242,3.6529,0.0288,1.8779,2.3485,3.021,4.0163,4.6572,6.5719
"pearson IV",7.36674811656587,-2.20772915568762,0.2181,3.6951,0.0266,1.9104,2.3672,3.1082,4.0832,4.8665,6.7647
"pearson IV",7.14494026087225,-2.30191032574326,0.2405,3.7419,0.0268,1.9043,2.4075,3.1071,4.187,4.8911,7.0089
"pearson IV",6.39575149383023,-1.32146652637748,0.173,3.8208,0.021,2.0389,2.399,3.4483,4.2384,5.6857,7.2818
"pearson IV",6.37877998720109,-1.58856405700417,0.2084,3.847,0.0224,2.0049,2.4386,3.3755,4.3276,5.5425,7.467
"pearson IV",6.16567203609459,-1.52272769475821,0.2139,3.8964,0.0242,2.0225,2.4666,3.4323,4.4144,5.7011,7.706
"pearson IV",5.97350956729054,-1.52769920389215,0.2285,3.9533,0.0225,2.0304,2.5041,3.4679,4.5229,5.818,7.9924
"pearson IV",5.74220621126145,-1.35473151287297,0.2201,4.0092,0.0233,2.0689,2.5237,3.5779,4.6005,6.106,8.2404
"pearson IV",5.62520917274989,-1.39610609062854,0.2365,4.0572,0.0257,2.0691,2.5568,3.5919,4.6942,6.1692,8.4858
"pearson IV",5.51178853531741,-1.31971461337944,0.2334,4.0914,0.0269,2.089,2.5696,3.6508,4.7426,6.3288,8.6394
"pearson IV",5.32500606356189,-1.23425924067153,0.235,4.1594,0.0266,2.1175,2.5997,3.7408,4.8462,6.5855,8.9535
"pearson IV",5.21774145925231,-1.22830813028431,0.2442,4.2098,0.0262,2.127,2.627,3.7785,4.9311,6.7079,9.1955
"pearson IV",5.12123932136688,-1.16415818575653,0.2412,4.2484,0.025,2.1477,2.6405,3.8414,4.9831,6.8844,9.366
"pearson IV",4.99958942468837,-1.09743393965415,0.2398,4.3037,0.0249,2.1728,2.6613,3.9203,5.0599,7.112,9.6123
"pearson IV",4.90228555323184,-1.03756721084239,0.2369,4.3505,0.024,2.1958,2.6772,3.9919,5.1215,7.3183,9.8163
"pearson IV",4.80539229724184,-0.995042163743637,0.2376,4.4044,0.0231,2.2164,2.6979,4.0592,5.1961,7.5206,10.0553
