"time","temperature","bin.start","bin.end","index.bin","n.points","n.NA","n.imputed","n.outliers","sd.temperature"
2020-07-01 16:27:30,26.76304,2020-07-01 16:25:00,2020-07-01 16:30:00,198,5,0,0,0,0.0896920732283522
2020-07-01 16:32:30,27.19982,2020-07-01 16:30:00,2020-07-01 16:35:00,199,5,0,0,0,0.226605156605052
2020-07-01 16:37:30,27.08416,2020-07-01 16:35:00,2020-07-01 16:40:00,200,5,0,0,0,0.210342703700413
2020-07-01 16:42:30,26.82374,2020-07-01 16:40:00,2020-07-01 16:45:00,201,5,0,0,0,0.111964985598176
2020-07-01 16:47:30,27.50572,2020-07-01 16:45:00,2020-07-01 16:50:00,202,5,0,0,0,0.295250947500596
2020-07-01 16:52:30,27.16962,2020-07-01 16:50:00,2020-07-01 16:55:00,203,5,0,0,0,0.0832840440900906
2020-07-01 16:57:30,27.42416,2020-07-01 16:55:00,2020-07-01 17:00:00,204,5,0,0,0,0.239486728233529
2020-07-01 17:02:30,27.41264,2020-07-01 17:00:00,2020-07-01 17:05:00,205,5,0,0,0,0.124159143843697
2020-07-01 17:07:30,27.5506,2020-07-01 17:05:00,2020-07-01 17:10:00,206,5,0,0,0,0.102463578895138
2020-07-01 17:12:30,27.29542,2020-07-01 17:10:00,2020-07-01 17:15:00,207,5,0,0,0,0.0745249756792984
2020-07-01 17:17:30,27.4328,2020-07-01 17:15:00,2020-07-01 17:20:00,208,5,0,0,0,0.139461446285345
2020-07-01 17:22:30,27.68278,2020-07-01 17:20:00,2020-07-01 17:25:00,209,5,0,0,0,0.188946346881859
2020-07-01 17:27:30,27.65406,2020-07-01 17:25:00,2020-07-01 17:30:00,210,5,0,0,0,0.170640625291868
2020-07-01 17:32:30,27.73668,2020-07-01 17:30:00,2020-07-01 17:35:00,211,5,0,0,0,0.11507837329403
2020-07-01 17:37:30,27.8419,2020-07-01 17:35:00,2020-07-01 17:40:00,212,5,0,0,0,0.272292453072061
2020-07-01 17:42:30,27.82904,2020-07-01 17:40:00,2020-07-01 17:45:00,213,5,0,0,0,0.0602361436348637
2020-07-01 17:47:30,28.12084,2020-07-01 17:45:00,2020-07-01 17:50:00,214,5,0,0,0,0.282862993337763
2020-07-01 17:52:30,28.23386,2020-07-01 17:50:00,2020-07-01 17:55:00,215,5,0,0,0,0.34099919794627
2020-07-01 17:57:30,27.98258,2020-07-01 17:55:00,2020-07-01 18:00:00,216,5,0,0,0,0.0552650612955423
2020-07-01 18:02:30,28.39368,2020-07-01 18:00:00,2020-07-01 18:05:00,217,5,0,0,0,0.146740355730794
2020-07-01 18:07:30,28.5621,2020-07-01 18:05:00,2020-07-01 18:10:00,218,5,0,0,0,0.206692247072792
2020-07-01 18:12:30,28.3926,2020-07-01 18:10:00,2020-07-01 18:15:00,219,5,0,0,0,0.290657625050505
2020-07-01 18:17:30,28.4406,2020-07-01 18:15:00,2020-07-01 18:20:00,220,5,0,0,0,0.206605445233179
2020-07-01 18:22:30,29.09594,2020-07-01 18:20:00,2020-07-01 18:25:00,221,5,0,0,0,0.392041009334483
