"lambda3","lambda4","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
5.4,5.8,0.0915561694411919,3.18958355443607,0.0461946308064675,1.93908825329348,2.02379361514402,1.95746078009713,2.042171216617,1.95789961569694,2.04261005502163
4.8,6.6,0.385118005781542,3.17186392216603,0.196034155542843,1.70846543651864,2.06807464620091,1.72602704586591,2.08565809373003,1.72644673871736,2.08607779865274
4.6,7,0.49469818114896,3.17706289815352,0.249329589940124,1.60393005732659,2.065739195224,1.62107479344035,2.08291236301962,1.62148463424788,2.08332221954442
4.4,7.4,0.586383518590752,3.16146641341857,0.297153895324781,1.48415675879345,2.03167232788418,1.5006325808759,2.0481823093242,1.50102653768465,2.04857628501817
4.4,7.6,0.621190670297538,3.18735606420871,0.313903164107607,1.47991384262525,2.0652879865061,1.49666008731803,2.08207126767166,1.4970605642527,2.08247176508398
4.2,8,0.688283128082527,3.14076638785068,0.349685591678188,1.34869380804283,1.99719595409589,1.3645128050561,2.01305650441491,1.3648912094128,2.01343493174866
4.2,8.2,0.71696714351015,3.17650905544345,0.360023458689546,1.33979602202854,2.02125477411562,1.35580341807785,2.03730643354574,1.35618638073223,2.03768942067785
4.2,8.4,0.748624934197307,3.19975162498751,0.375669351169463,1.33005037200652,2.04377714605557,1.34623393699864,2.06000770135093,1.34662116653721,2.06039495687752
4,9,0.810848431417796,3.1493106292485,0.407370043175829,1.1842890441538,1.96087604005471,1.1994504349529,1.97608985066594,1.19981335332432,1.97645279803327
4,9.4,0.852974420613489,3.18877441328578,0.426967328621681,1.16016978983588,1.98900826479741,1.1755444714023,2.00444036171461,1.17591259453914,2.00480851661621
3.8,10.8,0.949422494474015,3.17677721429572,0.471798900766421,0.97234424766454,1.90823135875304,0.986735440841462,1.92269224794424,0.987080341055505,1.92303718673759
3.8,11,0.959790163960189,3.18944725526016,0.476740504112057,0.960364815577386,1.91460121911945,0.97480205706984,1.92911038077684,0.975148107503068,1.92945647102402
3.6,12.8,1.01604370538691,3.14185693976703,0.501445006739133,0.777303740061659,1.80188442152047,0.790553163622385,1.81521822616305,0.790871128156374,1.81553623744204
3.6,13.8,1.0529730187193,3.18206185955075,0.520057557192066,0.730438474221133,1.81287587814967,0.74375953353767,1.82629101880586,0.744079432539252,1.826610969949
3.6,14.8,1.07802634384312,3.19882917044793,0.529956771012651,0.687606028779687,1.82050794245637,0.700973952814503,1.83397955981619,0.701295193433286,1.83430085792887
3.4,21,1.11765187440957,3.14720025563415,0.554207096198207,0.451695046797142,1.68577000124893,0.463726163827609,1.69794800121519,0.464016488313093,1.69823840735612
3.4,22.6,1.12602880737909,3.15277631191613,0.558804749884577,0.421128319815048,1.68650100433494,0.433151410078888,1.69868428506639,0.433441853033297,1.69897481713659
3.4,29.2,1.15339431796268,3.18006925510047,0.576616947561602,0.329319035575953,1.68741825581893,0.341294205322413,1.69960816277373,0.341584775600608,1.69989885285805
5.4,6,0.135215811295033,3.2383805604788,0.067282985539017,1.97653153586236,2.10682352334059,1.99565715185404,2.12595706373271,1.99611403692982,2.12641395318877
5,6.8,0.395376707831466,3.27436086744925,0.202302174511995,1.83870267208205,2.22208387345004,1.85799771251821,2.24140290661276,1.85845889363965,2.24186410099874
4.8,7,0.466115388247001,3.24949202991395,0.236596690735151,1.72449192270745,2.17302909677137,1.74294056738696,2.19150578342171,1.74338157781625,2.19194680935418
4.6,7.2,0.531944634221963,3.21139501989253,0.269463858146119,1.60535313173769,2.1087822846405,1.62285294480739,2.12631353811467,1.62327133005845,2.12673194074776
4.6,7.6,0.603086689650156,3.26758079895675,0.305098278863659,1.60233282159999,2.18811198648632,1.62048627929877,2.20630308020605,1.62092040893359,2.20673723065184
