"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"betaprime",8.44151542789303,28.5458249554504,1.0282,4.8949,0.1628,4.8927,1.0253,0.3281,3.5705,0.160405741088757,0.99965,5.1047,5.8255,6.5681,7.3346,8.127
"betaprime",13.5570014733588,23.2021404454485,1.021,4.9576,0.1581,4.9631,1.0247,0.3538,3.5563,0.157496091558003,0.999403,5.2184,5.9842,6.7808,7.611,8.4777
"betaprime",4.1868526001065,102.257088303694,1.0527,4.7402,0.1685,4.7502,1.0518,0.2606,3.5895,0.170238805284978,0.999999,4.7902,5.3895,5.9887,6.5888,7.1907
"betaprime",4.69503906627651,62.2654199781595,1.0518,4.791,0.1682,4.8351,1.0558,0.2768,3.5969,0.168652612753247,0.999972,4.8772,5.5066,6.1407,6.7805,7.4271
"betaprime",5.43961706473492,43.509216353693,1.0515,4.8524,0.1677,4.852,1.0516,0.2961,3.6033,0.167019033365357,0.999894,4.9784,5.6432,6.3185,7.0057,7.706
"betaprime",6.32021459145471,34.9072019805433,1.0497,4.9003,0.167,4.8798,1.0471,0.3126,3.6034,0.165409787393916,0.999795,5.06,5.7546,6.465,7.1928,7.9396
"betaprime",7.16832080151886,30.5190963782021,1.0496,4.941,0.1658,4.9321,1.0494,0.3255,3.604,0.164455737164082,0.999703,5.1243,5.8422,6.5799,7.3395,8.1228
"betaprime",8.26690707241651,27.0742196107283,1.052,4.9919,0.1638,4.9676,1.0497,0.3397,3.6069,0.163894222343427,0.999591,5.1974,5.9408,6.7086,7.5032,8.3267
"betaprime",13.4881613839976,22.1285663567483,1.0443,5.057,0.1599,5.0017,1.0376,0.3667,3.5891,0.160762773216454,0.999321,5.3144,6.1049,6.9294,7.7912,8.6932
"betaprime",13.8231227952475,21.6614415518939,1.0515,5.092,0.1608,5.0914,1.0517,0.372,3.5986,0.161686381358799,0.999282,5.3499,6.1501,6.986,7.8607,8.7773
"betaprime",4.213919224157,82.3655408777995,1.0682,4.81,0.1734,4.8082,1.0659,0.2697,3.6194,0.17246716227176,0.999993,4.8638,5.4811,6.1002,6.7221,7.3478
"betaprime",4.24141114725964,74.2996278526029,1.0756,4.8454,0.1736,4.8105,1.0695,0.2746,3.6336,0.173477226116341,0.999986,4.9019,5.5289,6.1588,6.7926,7.4314
"betaprime",5.17820478182286,43.7051263502101,1.0692,4.9092,0.1695,4.839,1.0596,0.2995,3.6322,0.170102161744798,0.999893,5.0232,5.6955,6.3786,7.0737,7.7821
"betaprime",5.71819009077735,36.5989761087578,1.0714,4.9588,0.1686,5.0062,1.0789,0.3132,3.638,0.169419206888678,0.999817,5.0966,5.794,6.5063,7.2352,7.982
"betaprime",6.04179058536421,33.5397135166219,1.0749,4.995,0.1704,4.9864,1.0742,0.3217,3.6441,0.169416129452003,0.999766,5.1444,5.8574,6.5879,7.3375,8.108
"betaprime",7.00126305784099,28.8331240197644,1.0743,5.0426,0.1676,4.9929,1.0694,0.3372,3.6427,0.168138996851982,0.999648,5.2199,5.9607,6.724,7.5121,8.3267
"betaprime",8.64832311174832,24.8714965905994,1.0735,5.099,0.1704,5.0198,1.0668,0.3558,3.6384,0.166670450533958,0.999485,5.3079,6.0815,6.8841,7.7181,8.586
"betaprime",11.5841396000981,22.0466566445422,1.0692,5.1422,0.1632,5.1372,1.0707,0.3733,3.6264,0.164721480995073,0.999306,5.3829,6.1868,7.0259,7.9032,8.8219
"betaprime",14.5577663321141,20.4781889107078,1.0738,5.1987,0.166,5.1718,1.0701,0.3874,3.6281,0.164622867163834,0.999169,5.4549,6.2838,7.1527,8.0651,9.0244
"betaprime",3.82652771438006,99.2291618224466,1.0981,4.8906,0.1793,4.8484,1.0922,0.2702,3.6677,0.178358972248474,0.999998,4.9132,5.5336,6.1545,6.777,7.402
"betaprime",4.27838579462375,60.0337096920935,1.0971,4.9447,0.1784,4.9684,1.1024,0.2876,3.6736,0.176522252015263,0.999962,5.0046,5.6572,6.3155,6.9807,7.6538
"betaprime",5.02227499710396,40.8084079499356,1.0949,5.0099,0.1754,4.9676,1.0869,0.3097,3.6753,0.174148849969685,0.999863,5.1154,5.8082,6.5137,7.2334,7.9685
"betaprime",5.34383760397322,36.0742961776676,1.0991,5.0556,0.1717,5.0288,1.0975,0.3204,3.6831,0.174069644825709,0.999804,5.1759,5.8885,6.617,7.363,8.1279
"betaprime",6.08441634080373,30.5198334670858,1.0993,5.1073,0.172,5.0898,1.0971,0.3365,3.683,0.172813903338953,0.999691,5.2555,5.9971,6.7597,7.5454,8.356
"betaprime",7.73283918052912,25.4165366906673,1.0921,5.1526,0.1666,5.1111,1.0826,0.3571,3.6679,0.169933455403489,0.999507,5.3428,6.1202,6.9261,7.7628,8.6328
"betaprime",9.29887851742096,22.8500890659168,1.0934,5.2067,0.17,5.311,1.0991,0.3732,3.6652,0.169037989084979,0.999357,5.4201,6.2259,7.0657,7.9423,8.8586
"betaprime",12.0553204262257,20.7983591153286,1.0917,5.2512,0.1672,5.1921,1.0876,0.3889,3.656,0.167667706552506,0.999193,5.4893,6.3224,7.195,8.1106,9.0727
"betaprime",12.6263706085086,20.2456643658574,1.0988,5.292,0.1721,5.3838,1.1067,0.3957,3.6643,0.168480613499629,0.999137,5.5312,6.3768,7.2638,8.1962,9.1775
"betaprime",3.46776739712805,151.249038332631,1.1221,4.9421,0.1824,4.9563,1.1275,0.266,3.7047,0.183662337167507,0.999999,4.9287,5.543,6.1555,6.7673,7.3791
"betaprime",4.05411619256251,62.4187990852864,1.1165,5.0046,0.1811,4.9581,1.1103,0.2898,3.7061,0.18016236530403,0.999966,5.047,5.7051,6.3687,7.0388,7.7166
"betaprime",4.39827288662782,48.7426507701399,1.1161,5.0442,0.1781,5.0286,1.1156,0.3025,3.7086,0.178894263259123,0.999919,5.1118,5.7931,6.4837,7.1849,7.898
"betaprime",4.99010875890963,37.6581276896875,1.1148,5.0978,0.1788,5.0942,1.1166,0.3202,3.7088,0.177082089039401,0.999824,5.1998,5.9133,6.6418,7.3869,8.15
"betaprime",5.16485607106239,34.5618410169147,1.1222,5.1471,0.182,5.1598,1.1266,0.3293,3.7208,0.177732043158692,0.999774,5.2564,5.9868,6.7348,7.5021,8.2903
"betaprime",5.81332342294045,29.7708945968188,1.1217,5.1933,0.1772,5.1843,1.1195,0.3443,3.7186,0.176395082895494,0.999664,5.3285,6.0857,6.8655,7.6698,8.5007
"betaprime",7.68969641639851,24.0418513052166,1.1153,5.2583,0.1728,5.3011,1.1209,0.3706,3.7018,0.17319544749294,0.999426,5.4423,6.2453,7.0802,7.9496,8.8563
"betaprime",7.99422309456859,23.1078115900978,1.1222,5.302,0.1766,5.2779,1.1206,0.3783,3.7104,0.173888767763482,0.999366,5.4891,6.3064,7.1578,8.0463,8.9748
"betaprime",11.7039872550964,20.0459192049573,1.1154,5.3564,0.1748,5.4239,1.1185,0.4018,3.6883,0.171008839385489,0.99911,5.5843,6.4417,7.3419,8.2888,9.2861
"betaprime",13.6266958892299,19.1529072963633,1.1189,5.3978,0.17,5.389,1.118,0.4119,3.6882,0.170951004779552,0.999008,5.6347,6.5098,7.4314,8.4034,9.43
"betaprime",3.75747242260724,72.0116939081345,1.1361,5.0526,0.1833,5.0774,1.1386,0.2879,3.7379,0.184266583243574,0.99998,5.0686,5.7246,6.3846,7.0497,7.7208
